node_index,node_id,node_name,node_type,SMILES,MW,clogp,tpsa,scaffold_cluster
14010,DB09130,Copper,drug,[Cu],63.546,-0.0025,0.0,0
14011,DB06784,Gallium citrate Ga-67,drug,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[67Ga+3],256.0272017,-5.633399999999998,140.61999999999998,0
14012,DB09140,Oxygen,drug,O=O,31.998,0.067,34.14,0
14013,DB00180,Flunisolide,drug,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1C[C@@H]4[C@]2(OC(O4)(C)C)C(=O)CO)C[C@@H](C5=CC(=O)C=C[C@]35C)F)O,434.50400000000013,2.2747000000000006,93.06000000000002,1
14014,DB00240,Alclometasone,drug,C[C@@H]1C[C@H]2[C@@H]3[C@@H](CC4=CC(=O)C=C[C@@]4([C@H]3[C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)C)Cl,408.92200000000014,2.0209,94.83000000000001,2
14015,DB00253,Medrysone,drug,C[C@H]1C[C@H]2[C@@H]3CC[C@@H]([C@]3(C[C@@H]([C@@H]2[C@@]4(C1=CC(=O)CC4)C)O)C)C(=O)C,344.49500000000006,3.9403000000000032,54.37,3
14016,DB00324,Fluorometholone,drug,C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@]2([C@@]4(C1=CC(=O)C=C4)C)F)O)C)(C(=O)C)O,376.4680000000001,2.9233000000000016,74.6,4
14017,DB00394,Beclomethasone dipropionate,drug,CCC(=O)OCC(=O)[C@]1([C@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)Cl)O)C)C)OC(=O)CC,521.0500000000003,4.086800000000004,106.97,4
14018,DB00443,Betamethasone,drug,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C,392.4670000000001,1.8957,94.83000000000001,4
14019,DB00588,Fluticasone propionate,drug,CCC(=O)O[C@@]1([C@@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2C[C@@H](C4=CC(=O)C=C[C@@]43C)F)F)O)C)C)C(=O)SCF,500.5790000000002,4.430000000000004,80.67000000000002,4
14020,DB00591,Fluocinolone acetonide,drug,C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@@H]4[C@]2(OC(O4)(C)C)C(=O)CO)C[C@@H](C5=CC(=O)C=C[C@@]53C)F)F)O,452.4940000000001,2.366800000000001,93.06000000000002,5
14021,DB00596,Ulobetasol,drug,C[C@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CCl)O)C)O)F)C)F,428.90300000000013,3.090200000000002,74.60000000000001,4
14022,DB00620,Triamcinolone,drug,C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@H]([C@@]2(C(=O)CO)O)O)CCC4=CC(=O)C=C[C@@]43C)F)O,394.4390000000001,0.6205000000000003,115.06000000000002,4
14023,DB00635,Prednisone,drug,C[C@]12CC(=O)[C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C,358.434,1.7658,91.67000000000002,6
